#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Error|Error
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Hallo, wie geht's?
1-1	0-6	Hallo,	_	GFailure[3]	aufnehmen\_set1\_22[3]	latin2[3]	2em9nj6n4c2pjudl6n6hfpjc30-aufnehmen\_set1\_22[3]	_	_	_	_	_	false[91]	Int[91]	*[216]	*[216]	*[216]	wh\_2[216]	wh\_question[216]	openq[216]	*[336]	female[336]	*[336]	speaker:Fiona[456]	_	_	QAP	*	2-1[92_91]	
1-2	7-10	wie	_	GFailure[3]	aufnehmen\_set1\_22[3]	latin2[3]	2em9nj6n4c2pjudl6n6hfpjc30-aufnehmen\_set1\_22[3]	_	_	_	_	_	false[91]	Int[91]	*[216]	*[216]	*[216]	wh\_2[216]	wh\_question[216]	openq[216]	*[336]	female[336]	*[336]	speaker:Fiona[456]	_	_	_	_	_	
1-3	11-18	geht's?	_	GFailure[3]	aufnehmen\_set1\_22[3]	latin2[3]	2em9nj6n4c2pjudl6n6hfpjc30-aufnehmen\_set1\_22[3]	_	_	_	_	_	false[91]	Int[91]	*[216]	*[216]	*[216]	wh\_2[216]	wh\_question[216]	openq[216]	*[336]	female[336]	*[336]	speaker:Fiona[456]	_	_	_	_	_	

#Text=Robin hat ein Konzert aufgenommen
2-1	20-25	Robin	_	GFailure[3]	aufnehmen\_set1\_22[3]	latin2[3]	2em9nj6n4c2pjudl6n6hfpjc30-aufnehmen\_set1\_22[3]	*	*	Subj	*	*	false[92]	Decl[92]	*[217]	aufnehmen[217]	transitive[217]	*[217]	*[217]	item0[217]	32[337]	female[337]	2em9nj6n4c2pjudl6n6hfpjc30[337]	speaker: YOU[457]	*->34-1	PropNm[34]	explanation|CR	*|*	4-1[93_92]|3-1[0_92]	
2-2	26-29	hat	_	GFailure[3]	aufnehmen\_set1\_22[3]	latin2[3]	2em9nj6n4c2pjudl6n6hfpjc30-aufnehmen\_set1\_22[3]	_	_	_	_	_	false[92]	Decl[92]	*[217]	aufnehmen[217]	transitive[217]	*[217]	*[217]	item0[217]	32[337]	female[337]	2em9nj6n4c2pjudl6n6hfpjc30[337]	speaker: YOU[457]	_	_	_	_	_	
2-3	30-33	ein	_	GFailure[3]	aufnehmen\_set1\_22[3]	latin2[3]	2em9nj6n4c2pjudl6n6hfpjc30-aufnehmen\_set1\_22[3]	*[33]	*[33]	object[33]	*[33]	*[33]	false[92]	Decl[92]	*[217]	aufnehmen[217]	transitive[217]	*[217]	*[217]	item0[217]	32[337]	female[337]	2em9nj6n4c2pjudl6n6hfpjc30[337]	speaker: YOU[457]	*->106-1	IndefNP[106]	_	_	_	
2-4	34-41	Konzert	_	GFailure[3]	aufnehmen\_set1\_22[3]	latin2[3]	2em9nj6n4c2pjudl6n6hfpjc30-aufnehmen\_set1\_22[3]	*[33]	*[33]	object[33]	*[33]	*[33]	false[92]	Decl[92]	*[217]	aufnehmen[217]	transitive[217]	*[217]	*[217]	item0[217]	32[337]	female[337]	2em9nj6n4c2pjudl6n6hfpjc30[337]	speaker: YOU[457]	*->106-1	IndefNP[106]	_	_	_	
2-5	42-53	aufgenommen	_	GFailure[3]	aufnehmen\_set1\_22[3]	latin2[3]	2em9nj6n4c2pjudl6n6hfpjc30-aufnehmen\_set1\_22[3]	_	_	_	_	_	false[92]	Decl[92]	*[217]	aufnehmen[217]	transitive[217]	*[217]	*[217]	item0[217]	32[337]	female[337]	2em9nj6n4c2pjudl6n6hfpjc30[337]	speaker: YOU[457]	_	_	_	_	_	
