#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Wie läufts so?
1-1	0-3	Wie	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[100]	Int[100]	*[230]	*[230]	*[230]	wh\_5[230]	wh\_question[230]	openq[230]	*[350]	female[350]	*[350]	speaker:Emma[470]	_	_	QAP	*	2-1[101_100]	
1-2	4-10	läufts	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[100]	Int[100]	*[230]	*[230]	*[230]	wh\_5[230]	wh\_question[230]	openq[230]	*[350]	female[350]	*[350]	speaker:Emma[470]	_	_	_	_	_	
1-3	11-14	so?	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[100]	Int[100]	*[230]	*[230]	*[230]	wh\_5[230]	wh\_question[230]	openq[230]	*[350]	female[350]	*[350]	speaker:Emma[470]	_	_	_	_	_	

#Text=Simon ist im Kino eingeschlafen
2-1	16-21	Simon	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	*	*	Subj	*	*	false[101]	Decl[101]	*[231]	einschlafen[231]	intransitive[231]	*[231]	*[231]	item0[231]	35[351]	female[351]	2k56uavscuainedj0q9i1sb693[351]	speaker: YOU[471]	*->118-1	PropNm[118]	explanation|explanation|CR	*|*|*	4-1[102_101]|5-1[103_101]|3-1[0_101]	
2-2	22-25	ist	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[101]	Decl[101]	*[231]	einschlafen[231]	intransitive[231]	*[231]	*[231]	item0[231]	35[351]	female[351]	2k56uavscuainedj0q9i1sb693[351]	speaker: YOU[471]	_	_	_	_	_	
2-3	26-28	im	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	*[31]	*[31]	modifier[31]	*[31]	*[31]	false[101]	Decl[101]	*[231]	einschlafen[231]	intransitive[231]	*[231]	*[231]	item0[231]	35[351]	female[351]	2k56uavscuainedj0q9i1sb693[351]	speaker: YOU[471]	*->79-1	DefNP[79]	_	_	_	
2-4	29-33	Kino	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	*[31]	*[31]	modifier[31]	*[31]	*[31]	false[101]	Decl[101]	*[231]	einschlafen[231]	intransitive[231]	*[231]	*[231]	item0[231]	35[351]	female[351]	2k56uavscuainedj0q9i1sb693[351]	speaker: YOU[471]	*->79-1	DefNP[79]	_	_	_	
2-5	34-47	eingeschlafen	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[101]	Decl[101]	*[231]	einschlafen[231]	intransitive[231]	*[231]	*[231]	item0[231]	35[351]	female[351]	2k56uavscuainedj0q9i1sb693[351]	speaker: YOU[471]	_	_	_	_	_	
2-5.1	41-42	h	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	*->96-1	*[96]	_	_	_	

#Text=Hm?
3-1	49-52	Hm?	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false	NA	hm\_question\_4	*	*	*	*	feedback	*	female	*	speaker:Emma	_	_	_	_	_	

#Text=Fand den Film nicht so spannend.
4-1	54-58	Fand	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	3	*	*	*	singular	false[102]	Decl[102]	*[232]	*[232]	*[232]	*[232]	*[232]	input1[232]	35[352]	female[352]	2k56uavscuainedj0q9i1sb693[352]	speaker: YOU[472]	*->118-2	zero[118]	_	_	_	
4-2	59-62	den	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	*[32]	*[32]	DirObj[32]	*[32]	*[32]	false[102]	Decl[102]	*[232]	*[232]	*[232]	*[232]	*[232]	input1[232]	35[352]	female[352]	2k56uavscuainedj0q9i1sb693[352]	speaker: YOU[472]	*->117-1	DefNP[117]	_	_	_	
4-3	63-67	Film	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	*[32]	*[32]	DirObj[32]	*[32]	*[32]	false[102]	Decl[102]	*[232]	*[232]	*[232]	*[232]	*[232]	input1[232]	35[352]	female[352]	2k56uavscuainedj0q9i1sb693[352]	speaker: YOU[472]	*->117-1	DefNP[117]	_	_	_	
4-4	68-73	nicht	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[102]	Decl[102]	*[232]	*[232]	*[232]	*[232]	*[232]	input1[232]	35[352]	female[352]	2k56uavscuainedj0q9i1sb693[352]	speaker: YOU[472]	_	_	_	_	_	
4-5	74-76	so	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[102]	Decl[102]	*[232]	*[232]	*[232]	*[232]	*[232]	input1[232]	35[352]	female[352]	2k56uavscuainedj0q9i1sb693[352]	speaker: YOU[472]	_	_	_	_	_	
4-6	77-86	spannend.	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[102]	Decl[102]	*[232]	*[232]	*[232]	*[232]	*[232]	input1[232]	35[352]	female[352]	2k56uavscuainedj0q9i1sb693[352]	speaker: YOU[472]	_	_	_	_	_	

#Text=Und er ist auch echt müde in letzter Zeit.
5-1	88-91	Und	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[103]	Decl[103]	*[233]	*[233]	*[233]	*[233]	*[233]	input2[233]	35[353]	female[353]	2k56uavscuainedj0q9i1sb693[353]	speaker: YOU[473]	_	_	_	_	_	
5-2	92-94	er	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	3	*	Subj	*	singular	false[103]	Decl[103]	*[233]	*[233]	*[233]	*[233]	*[233]	input2[233]	35[353]	female[353]	2k56uavscuainedj0q9i1sb693[353]	speaker: YOU[473]	*->118-3	PerPron[118]	_	_	_	
5-3	95-98	ist	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[103]	Decl[103]	*[233]	*[233]	*[233]	*[233]	*[233]	input2[233]	35[353]	female[353]	2k56uavscuainedj0q9i1sb693[353]	speaker: YOU[473]	_	_	_	_	_	
5-4	99-103	auch	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[103]	Decl[103]	*[233]	*[233]	*[233]	*[233]	*[233]	input2[233]	35[353]	female[353]	2k56uavscuainedj0q9i1sb693[353]	speaker: YOU[473]	_	_	_	_	_	
5-5	104-108	echt	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[103]	Decl[103]	*[233]	*[233]	*[233]	*[233]	*[233]	input2[233]	35[353]	female[353]	2k56uavscuainedj0q9i1sb693[353]	speaker: YOU[473]	_	_	_	_	_	
5-6	109-113	müde	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[103]	Decl[103]	*[233]	*[233]	*[233]	*[233]	*[233]	input2[233]	35[353]	female[353]	2k56uavscuainedj0q9i1sb693[353]	speaker: YOU[473]	_	_	_	_	_	
5-7	114-116	in	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[103]	Decl[103]	*[233]	*[233]	*[233]	*[233]	*[233]	input2[233]	35[353]	female[353]	2k56uavscuainedj0q9i1sb693[353]	speaker: YOU[473]	_	_	_	_	_	
5-8	117-124	letzter	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[103]	Decl[103]	*[233]	*[233]	*[233]	*[233]	*[233]	input2[233]	35[353]	female[353]	2k56uavscuainedj0q9i1sb693[353]	speaker: YOU[473]	*->87-1	DefNP[87]	_	_	_	
5-9	125-130	Zeit.	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	false[103]	Decl[103]	*[233]	*[233]	*[233]	*[233]	*[233]	input2[233]	35[353]	female[353]	2k56uavscuainedj0q9i1sb693[353]	speaker: YOU[473]	*->87-1	DefNP[87]	_	_	_	

#Text=END_OF_DOCUMENT
6-1	132-147	END_OF_DOCUMENT	GFailure[1]	einschlafen\_set1\_19[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-einschlafen\_set1\_19[1]	_	_	_	_	_	_	_	*	*	*	*	*	end	*	*	*	*	_	_	_	_	_	

#Text=Wie läufts so?
7-1	149-152	Wie	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	_	_	_	_	_	false[104]	Int[104]	*[234]	*[234]	*[234]	wh\_5[234]	wh\_question[234]	openq[234]	*[354]	female[354]	*[354]	speaker:Emma[474]	_	_	QAP	*	8-1[105_104]	
7-2	153-159	läufts	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	_	_	_	_	_	false[104]	Int[104]	*[234]	*[234]	*[234]	wh\_5[234]	wh\_question[234]	openq[234]	*[354]	female[354]	*[354]	speaker:Emma[474]	_	_	_	_	_	
7-3	160-163	so?	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	_	_	_	_	_	false[104]	Int[104]	*[234]	*[234]	*[234]	wh\_5[234]	wh\_question[234]	openq[234]	*[354]	female[354]	*[354]	speaker:Emma[474]	_	_	_	_	_	

#Text=Simon ist im Kino eingeschlafen
8-1	165-170	Simon	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	*	*	Subj	*	*	false[105]	Decl[105]	*[235]	einschlafen[235]	intransitive[235]	*[235]	*[235]	item0[235]	46[355]	male[355]	7bq5ecc5fndmatjvd44havavdp[355]	speaker: YOU[475]	*->56-1	PropNm[56]	elaboration|parallel|CR	*|*|*	10-1[106_105]|11-1[107_105]|9-1[0_105]	
8-2	171-174	ist	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	_	_	_	_	_	false[105]	Decl[105]	*[235]	einschlafen[235]	intransitive[235]	*[235]	*[235]	item0[235]	46[355]	male[355]	7bq5ecc5fndmatjvd44havavdp[355]	speaker: YOU[475]	_	_	_	_	_	
8-3	175-177	im	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	*[33]	*[33]	modifier[33]	*[33]	*[33]	false[105]	Decl[105]	*[235]	einschlafen[235]	intransitive[235]	*[235]	*[235]	item0[235]	46[355]	male[355]	7bq5ecc5fndmatjvd44havavdp[355]	speaker: YOU[475]	*->31-1	DefNP[31]	_	_	_	
8-4	178-182	Kino	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	*[33]	*[33]	modifier[33]	*[33]	*[33]	false[105]	Decl[105]	*[235]	einschlafen[235]	intransitive[235]	*[235]	*[235]	item0[235]	46[355]	male[355]	7bq5ecc5fndmatjvd44havavdp[355]	speaker: YOU[475]	*->31-1	DefNP[31]	_	_	_	
8-5	183-196	eingeschlafen	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	_	_	_	_	_	false[105]	Decl[105]	*[235]	einschlafen[235]	intransitive[235]	*[235]	*[235]	item0[235]	46[355]	male[355]	7bq5ecc5fndmatjvd44havavdp[355]	speaker: YOU[475]	_	_	_	_	_	

#Text=Hm?
9-1	198-201	Hm?	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	_	_	_	_	_	false	NA	hm\_question\_4	*	*	*	*	feedback	*	female	*	speaker:Emma	_	_	_	_	_	

#Text=So ein schlechter Film
10-1	203-205	So	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	_	_	_	_	_	false[106]	NA[106]	*[236]	*[236]	*[236]	*[236]	*[236]	input1[236]	46[356]	male[356]	7bq5ecc5fndmatjvd44havavdp[356]	speaker: YOU[476]	_	_	_	_	_	
10-2	206-209	ein	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	_	_	_	_	_	false[106]	NA[106]	*[236]	*[236]	*[236]	*[236]	*[236]	input1[236]	46[356]	male[356]	7bq5ecc5fndmatjvd44havavdp[356]	speaker: YOU[476]	_	_	_	_	_	
10-3	210-220	schlechter	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	_	_	_	_	_	false[106]	NA[106]	*[236]	*[236]	*[236]	*[236]	*[236]	input1[236]	46[356]	male[356]	7bq5ecc5fndmatjvd44havavdp[356]	speaker: YOU[476]	_	_	_	_	_	
10-4	221-225	Film	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	_	_	_	_	_	false[106]	NA[106]	*[236]	*[236]	*[236]	*[236]	*[236]	input1[236]	46[356]	male[356]	7bq5ecc5fndmatjvd44havavdp[356]	speaker: YOU[476]	_	_	_	_	_	

#Text=bin auch immer wieder eingenickt
11-1	227-230	bin	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	1	*	*	*	singular	false[107]	Decl[107]	*[237]	*[237]	*[237]	*[237]	*[237]	input2[237]	46[357]	male[357]	7bq5ecc5fndmatjvd44havavdp[357]	speaker: YOU[477]	*->43-1	zero[43]	_	_	_	
11-2	231-235	auch	GFailure[2]	einschlafen\_set1\_19[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-einschlafen\_set1\_19[2]	_	_	_	_	_	false[107]	Decl[107]	*[237]	*[237]	*[237]	*[237]	*[237]	input2[237]	46[357]	male[357]	7bq5ecc5fndmatjvd44havavdp[357]	speaker: YOU[477]	_	_	_	_	_	
