#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Error|Error
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Wie läufts so?
1-1	0-3	Wie	_	GFailure[2]	aufwachen\_set1\_29[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-aufwachen\_set1\_29[2]	_	_	_	_	_	false[54]	Int[54]	*[178]	*[178]	*[178]	wh\_5[178]	wh\_question[178]	openq[178]	*[296]	male[296]	*[296]	speaker:Noel[414]	_	_	QAP	*	2-1[55_54]	
1-2	4-10	läufts	_	GFailure[2]	aufwachen\_set1\_29[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-aufwachen\_set1\_29[2]	_	_	_	_	_	false[54]	Int[54]	*[178]	*[178]	*[178]	wh\_5[178]	wh\_question[178]	openq[178]	*[296]	male[296]	*[296]	speaker:Noel[414]	_	_	_	_	_	
1-3	11-14	so?	_	GFailure[2]	aufwachen\_set1\_29[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-aufwachen\_set1\_29[2]	_	_	_	_	_	false[54]	Int[54]	*[178]	*[178]	*[178]	wh\_5[178]	wh\_question[178]	openq[178]	*[296]	male[296]	*[296]	speaker:Noel[414]	_	_	_	_	_	

#Text=Jonas ist aufgewacht
2-1	16-21	Jonas	_	GFailure[2]	aufwachen\_set1\_29[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-aufwachen\_set1\_29[2]	*	*	Subj	*	*	false[55]	Decl[55]	*[179]	aufwachen[179]	intransitive[179]	*[179]	*[179]	item0[179]	32[297]	female[297]	2em9nj6n4c2pjudl6n6hfpjc30[297]	speaker: YOU[415]	*->71-1	PropNm[71]	elaboration|elaboration|elaboration|CR	*|*|*|*	4-2[56_55]|5-1[57_55]|4-1[0_55]|3-1[0_55]	
2-2	22-25	ist	_	GFailure[2]	aufwachen\_set1\_29[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-aufwachen\_set1\_29[2]	_	_	_	_	_	false[55]	Decl[55]	*[179]	aufwachen[179]	intransitive[179]	*[179]	*[179]	item0[179]	32[297]	female[297]	2em9nj6n4c2pjudl6n6hfpjc30[297]	speaker: YOU[415]	_	_	_	_	_	
2-3	26-36	aufgewacht	_	GFailure[2]	aufwachen\_set1\_29[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-aufwachen\_set1\_29[2]	_	_	_	_	_	false[55]	Decl[55]	*[179]	aufwachen[179]	intransitive[179]	*[179]	*[179]	item0[179]	32[297]	female[297]	2em9nj6n4c2pjudl6n6hfpjc30[297]	speaker: YOU[415]	_	_	_	_	_	

#Text=Was?
3-1	38-42	Was?	_	GFailure[2]	aufwachen\_set1\_29[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-aufwachen\_set1\_29[2]	_	_	_	_	_	false	NA	was\_question\_3	*	*	*	*	feedback	*	male	*	speaker:Noel	_	_	_	_	_	

#Text=Ja! Der Arzt meinte die Chancen waren eins zu tausend.
4-1	44-47	Ja!	_	GFailure[2]	aufwachen\_set1\_29[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-aufwachen\_set1\_29[2]	_	_	_	_	_	false	NA	*[180]	*[180]	*[180]	*[180]	*[180]	input1[180]	32[298]	female[298]	2em9nj6n4c2pjudl6n6hfpjc30[298]	speaker: YOU[416]	_	_	_	_	_	
4-2	48-51	Der	_	GFailure[2]	aufwachen\_set1\_29[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-aufwachen\_set1\_29[2]	*[32]	*[32]	Subj[32]	*[32]	*[32]	false[56]	Decl[56]	*[180]	*[180]	*[180]	*[180]	*[180]	input1[180]	32[298]	female[298]	2em9nj6n4c2pjudl6n6hfpjc30[298]	speaker: YOU[416]	*->72-1	DefNP[72]	_	_	_	
4-3	52-56	Arzt	_	GFailure[2]	aufwachen\_set1\_29[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-aufwachen\_set1\_29[2]	*[32]	*[32]	Subj[32]	*[32]	*[32]	false[56]	Decl[56]	*[180]	*[180]	*[180]	*[180]	*[180]	input1[180]	32[298]	female[298]	2em9nj6n4c2pjudl6n6hfpjc30[298]	speaker: YOU[416]	*->72-1	DefNP[72]	_	_	_	
4-4	57-63	meinte	_	GFailure[2]	aufwachen\_set1\_29[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-aufwachen\_set1\_29[2]	_	_	_	_	_	false[56]	Decl[56]	*[180]	*[180]	*[180]	*[180]	*[180]	input1[180]	32[298]	female[298]	2em9nj6n4c2pjudl6n6hfpjc30[298]	speaker: YOU[416]	_	_	_	_	_	
