#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Error|Error
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Hey, was gibts Neues?
1-1	0-4	Hey,	_	GFailure[3]	fremdgehen\_set1\_10[3]	latin3[3]	0ncaea7aqlpc7oe43khd21qn11-fremdgehen\_set1\_10[3]	_	_	_	_	_	false[60]	Int[60]	*[193]	*[193]	*[193]	wh\_6[193]	wh\_question[193]	openq[193]	*[323]	male[323]	*[323]	speaker:Ulrich[453]	_	_	QAP	*	2-1[61_60]	
1-2	5-8	was	_	GFailure[3]	fremdgehen\_set1\_10[3]	latin3[3]	0ncaea7aqlpc7oe43khd21qn11-fremdgehen\_set1\_10[3]	_	_	_	_	_	false[60]	Int[60]	*[193]	*[193]	*[193]	wh\_6[193]	wh\_question[193]	openq[193]	*[323]	male[323]	*[323]	speaker:Ulrich[453]	_	_	_	_	_	
1-3	9-14	gibts	_	GFailure[3]	fremdgehen\_set1\_10[3]	latin3[3]	0ncaea7aqlpc7oe43khd21qn11-fremdgehen\_set1\_10[3]	_	_	_	_	_	false[60]	Int[60]	*[193]	*[193]	*[193]	wh\_6[193]	wh\_question[193]	openq[193]	*[323]	male[323]	*[323]	speaker:Ulrich[453]	_	_	_	_	_	
1-4	15-21	Neues?	_	GFailure[3]	fremdgehen\_set1\_10[3]	latin3[3]	0ncaea7aqlpc7oe43khd21qn11-fremdgehen\_set1\_10[3]	_	_	_	_	_	false[60]	Int[60]	*[193]	*[193]	*[193]	wh\_6[193]	wh\_question[193]	openq[193]	*[323]	male[323]	*[323]	speaker:Ulrich[453]	_	_	_	_	_	

#Text=Charlotte ist fremdgegangen
2-1	23-32	Charlotte	_	GFailure[3]	fremdgehen\_set1\_10[3]	latin3[3]	0ncaea7aqlpc7oe43khd21qn11-fremdgehen\_set1\_10[3]	*	*	Subj	*	*	false[61]	Decl[61]	*[194]	fremdgehen[194]	intransitive[194]	*[194]	*[194]	item0[194]	18[324]	female[324]	0ncaea7aqlpc7oe43khd21qn11[324]	speaker: YOU[454]	*->33-1	PropNm[33]	elaboration|CR	*|*	4-1[62_61]|3-1[0_61]	
2-2	33-36	ist	_	GFailure[3]	fremdgehen\_set1\_10[3]	latin3[3]	0ncaea7aqlpc7oe43khd21qn11-fremdgehen\_set1\_10[3]	_	_	_	_	_	false[61]	Decl[61]	*[194]	fremdgehen[194]	intransitive[194]	*[194]	*[194]	item0[194]	18[324]	female[324]	0ncaea7aqlpc7oe43khd21qn11[324]	speaker: YOU[454]	_	_	_	_	_	
2-3	37-50	fremdgegangen	_	GFailure[3]	fremdgehen\_set1\_10[3]	latin3[3]	0ncaea7aqlpc7oe43khd21qn11-fremdgehen\_set1\_10[3]	_	_	_	_	_	false[61]	Decl[61]	*[194]	fremdgehen[194]	intransitive[194]	*[194]	*[194]	item0[194]	18[324]	female[324]	0ncaea7aqlpc7oe43khd21qn11[324]	speaker: YOU[454]	_	_	_	_	_	

