#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Wie läufts so?
1-1	0-3	Wie	GFailure[1]	bleiben\_set1\_9[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-bleiben\_set1\_9[1]	_	_	_	_	_	false[88]	Int[88]	*[219]	*[219]	*[219]	wh\_5[219]	wh\_question[219]	openq[219]	*[348]	male[348]	*[348]	speaker:Valentin[477]	_	_	QAP	*	2-1[89_88]	
1-2	4-10	läufts	GFailure[1]	bleiben\_set1\_9[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-bleiben\_set1\_9[1]	_	_	_	_	_	false[88]	Int[88]	*[219]	*[219]	*[219]	wh\_5[219]	wh\_question[219]	openq[219]	*[348]	male[348]	*[348]	speaker:Valentin[477]	_	_	_	_	_	
1-3	11-14	so?	GFailure[1]	bleiben\_set1\_9[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-bleiben\_set1\_9[1]	_	_	_	_	_	false[88]	Int[88]	*[219]	*[219]	*[219]	wh\_5[219]	wh\_question[219]	openq[219]	*[348]	male[348]	*[348]	speaker:Valentin[477]	_	_	_	_	_	

#Text=Antonia ist im Klassenzimmer geblieben
2-1	16-23	Antonia	GFailure[1]	bleiben\_set1\_9[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-bleiben\_set1\_9[1]	*	*	Subj	*	*	false[89]	Decl[89]	*[220]	bleiben[220]	intransitive[220]	*[220]	*[220]	item0[220]	18[349]	female[349]	0ncaea7aqlpc7oe43khd21qn11[349]	speaker: YOU[478]	*->77-1	PropNm[77]	explanation|CR	*|*	4-1[91_89]|3-1[90_89]	
2-2	24-27	ist	GFailure[1]	bleiben\_set1\_9[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-bleiben\_set1\_9[1]	_	_	_	_	_	false[89]	Decl[89]	*[220]	bleiben[220]	intransitive[220]	*[220]	*[220]	item0[220]	18[349]	female[349]	0ncaea7aqlpc7oe43khd21qn11[349]	speaker: YOU[478]	_	_	_	_	_	
2-3	28-30	im	GFailure[1]	bleiben\_set1\_9[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-bleiben\_set1\_9[1]	*[31]	*[31]	modifier[31]	*[31]	*[31]	false[89]	Decl[89]	*[220]	bleiben[220]	intransitive[220]	*[220]	*[220]	item0[220]	18[349]	female[349]	0ncaea7aqlpc7oe43khd21qn11[349]	speaker: YOU[478]	*->24-1	DefNP[24]	_	_	_	
2-4	31-44	Klassenzimmer	GFailure[1]	bleiben\_set1\_9[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-bleiben\_set1\_9[1]	*[31]	*[31]	modifier[31]	*[31]	*[31]	false[89]	Decl[89]	*[220]	bleiben[220]	intransitive[220]	*[220]	*[220]	item0[220]	18[349]	female[349]	0ncaea7aqlpc7oe43khd21qn11[349]	speaker: YOU[478]	*->24-1	DefNP[24]	_	_	_	
2-5	45-54	geblieben	GFailure[1]	bleiben\_set1\_9[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-bleiben\_set1\_9[1]	_	_	_	_	_	false[89]	Decl[89]	*[220]	bleiben[220]	intransitive[220]	*[220]	*[220]	item0[220]	18[349]	female[349]	0ncaea7aqlpc7oe43khd21qn11[349]	speaker: YOU[478]	_	_	_	_	_	

#Text=Wie bitte?
3-1	56-59	Wie	GFailure[1]	bleiben\_set1\_9[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-bleiben\_set1\_9[1]	_	_	_	_	_	false[90]	NA[90]	wie-bitte\_question\_2[221]	*[221]	*[221]	*[221]	*[221]	feedback[221]	*[350]	male[350]	*[350]	speaker:Valentin[479]	_	_	_	_	_	
