#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Hi, alles okay soweit?
1-1	0-3	Hi,	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[31]	Int[31]	*[164]	*[164]	*[164]	yn\_3[164]	yesno\_question[164]	openq[164]	*[293]	male[293]	*[293]	speaker:Tim[422]	_	_	QAP	*	2-1[32_31]	
1-2	4-9	alles	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[31]	Int[31]	*[164]	*[164]	*[164]	yn\_3[164]	yesno\_question[164]	openq[164]	*[293]	male[293]	*[293]	speaker:Tim[422]	_	_	_	_	_	
1-3	10-14	okay	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[31]	Int[31]	*[164]	*[164]	*[164]	yn\_3[164]	yesno\_question[164]	openq[164]	*[293]	male[293]	*[293]	speaker:Tim[422]	_	_	_	_	_	
1-4	15-22	soweit?	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[31]	Int[31]	*[164]	*[164]	*[164]	yn\_3[164]	yesno\_question[164]	openq[164]	*[293]	male[293]	*[293]	speaker:Tim[422]	_	_	_	_	_	

#Text=Elisa hat drei Spiele verloren
2-1	24-29	Elisa	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[32]	Decl[32]	*[165]	verlieren[165]	transitive[165]	*[165]	*[165]	item0[165]	35[294]	female[294]	2k56uavscuainedj0q9i1sb693[294]	speaker: YOU[423]	*->21-1	PropNm[21]	explanation|CR	*|*	4-1[34_32]|3-1[33_32]	
2-2	30-33	hat	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[32]	Decl[32]	*[165]	verlieren[165]	transitive[165]	*[165]	*[165]	item0[165]	35[294]	female[294]	2k56uavscuainedj0q9i1sb693[294]	speaker: YOU[423]	_	_	_	_	_	
2-3	34-38	drei	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[32]	Decl[32]	*[165]	verlieren[165]	transitive[165]	*[165]	*[165]	item0[165]	35[294]	female[294]	2k56uavscuainedj0q9i1sb693[294]	speaker: YOU[423]	*->36-1	IndefNP[36]	_	_	_	
2-4	39-45	Spiele	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[32]	Decl[32]	*[165]	verlieren[165]	transitive[165]	*[165]	*[165]	item0[165]	35[294]	female[294]	2k56uavscuainedj0q9i1sb693[294]	speaker: YOU[423]	*->36-1	IndefNP[36]	_	_	_	
2-5	46-54	verloren	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[32]	Decl[32]	*[165]	verlieren[165]	transitive[165]	*[165]	*[165]	item0[165]	35[294]	female[294]	2k56uavscuainedj0q9i1sb693[294]	speaker: YOU[423]	_	_	_	_	_	

#Text=Wie bitte?
3-1	56-59	Wie	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[33]	NA[33]	wie-bitte\_question\_2[166]	*[166]	*[166]	*[166]	*[166]	feedback[166]	*[295]	male[295]	*[295]	speaker:Tim[424]	_	_	_	_	_	
3-2	60-66	bitte?	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[33]	NA[33]	wie-bitte\_question\_2[166]	*[166]	*[166]	*[166]	*[166]	feedback[166]	*[295]	male[295]	*[295]	speaker:Tim[424]	_	_	_	_	_	

#Text=Wir hatten Spieleabend.
4-1	68-71	Wir	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	1	*	*	*	plural	false[34]	Decl[34]	*[167]	*[167]	*[167]	*[167]	*[167]	input1[167]	35[296]	female[296]	2k56uavscuainedj0q9i1sb693[296]	speaker: YOU[425]	*->49-1	PerPron[49]	elaboration	*	5-1[35_34]	
4-2	72-78	hatten	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[34]	Decl[34]	*[167]	*[167]	*[167]	*[167]	*[167]	input1[167]	35[296]	female[296]	2k56uavscuainedj0q9i1sb693[296]	speaker: YOU[425]	_	_	_	_	_	
4-3	79-91	Spieleabend.	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[34]	Decl[34]	*[167]	*[167]	*[167]	*[167]	*[167]	input1[167]	35[296]	female[296]	2k56uavscuainedj0q9i1sb693[296]	speaker: YOU[425]	*->27-1	IndefNP[27]	_	_	_	

#Text=War nicht so Elisas Abend.
5-1	93-96	War	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	3	*	*	*	singular	false[35]	Decl[35]	*[168]	*[168]	*[168]	*[168]	*[168]	input2[168]	35[297]	female[297]	2k56uavscuainedj0q9i1sb693[297]	speaker: YOU[426]	*->27-2	zero[27]	_	_	_	
5-2	97-102	nicht	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[35]	Decl[35]	*[168]	*[168]	*[168]	*[168]	*[168]	input2[168]	35[297]	female[297]	2k56uavscuainedj0q9i1sb693[297]	speaker: YOU[426]	_	_	_	_	_	
5-3	103-105	so	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[35]	Decl[35]	*[168]	*[168]	*[168]	*[168]	*[168]	input2[168]	35[297]	female[297]	2k56uavscuainedj0q9i1sb693[297]	speaker: YOU[426]	_	_	_	_	_	
5-4	106-112	Elisas	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[35]	Decl[35]	*[168]	*[168]	*[168]	*[168]	*[168]	input2[168]	35[297]	female[297]	2k56uavscuainedj0q9i1sb693[297]	speaker: YOU[426]	*->21-2	PropNm[21]	_	_	_	
5-5	113-119	Abend.	GFailure[1]	verlieren\_set1\_15[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-verlieren\_set1\_15[1]	_	_	_	_	_	false[35]	Decl[35]	*[168]	*[168]	*[168]	*[168]	*[168]	input2[168]	35[297]	female[297]	2k56uavscuainedj0q9i1sb693[297]	speaker: YOU[426]	_	_	_	_	_	

#Text=END_OF_DOCUMENT
