#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Error|Error
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Wie gehts dir?
1-1	0-3	Wie	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	_	_	_	_	_	false[87]	Int[87]	*[214]	*[214]	*[214]	wh\_3[214]	wh\_question[214]	openq[214]	*[333]	male[333]	*[333]	speaker:Paul[452]	_	_	QAP	*	2-1[88_87]	
1-2	4-9	gehts	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	_	_	_	_	_	false[87]	Int[87]	*[214]	*[214]	*[214]	wh\_3[214]	wh\_question[214]	openq[214]	*[333]	male[333]	*[333]	speaker:Paul[452]	_	_	_	_	_	
1-3	10-14	dir?	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	2	*	*	*	singular	false[87]	Int[87]	*[214]	*[214]	*[214]	wh\_3[214]	wh\_question[214]	openq[214]	*[333]	male[333]	*[333]	speaker:Paul[452]	*->79-1	PerPron[79]	_	_	_	

#Text=Joris ist unter den Tisch gekrochen
2-1	16-21	Joris	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	*	*	Subj	*	*	false[88]	Decl[88]	*[215]	kriechen[215]	intransitive[215]	*[215]	*[215]	item0[215]	32[334]	female[334]	2em9nj6n4c2pjudl6n6hfpjc30[334]	speaker: YOU[453]	*->53-1	PropNm[53]	explanation|CR	*|*	4-1[89_88]|3-1[0_88]	
2-2	22-25	ist	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	_	_	_	_	_	false[88]	Decl[88]	*[215]	kriechen[215]	intransitive[215]	*[215]	*[215]	item0[215]	32[334]	female[334]	2em9nj6n4c2pjudl6n6hfpjc30[334]	speaker: YOU[453]	_	_	_	_	_	
2-3	26-31	unter	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	_	_	_	_	_	false[88]	Decl[88]	*[215]	kriechen[215]	intransitive[215]	*[215]	*[215]	item0[215]	32[334]	female[334]	2em9nj6n4c2pjudl6n6hfpjc30[334]	speaker: YOU[453]	_	_	_	_	_	
2-4	32-35	den	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	*[32]	*[32]	modifier[32]	*[32]	*[32]	false[88]	Decl[88]	*[215]	kriechen[215]	intransitive[215]	*[215]	*[215]	item0[215]	32[334]	female[334]	2em9nj6n4c2pjudl6n6hfpjc30[334]	speaker: YOU[453]	*->91-1	DefNP[91]	_	_	_	
2-5	36-41	Tisch	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	*[32]	*[32]	modifier[32]	*[32]	*[32]	false[88]	Decl[88]	*[215]	kriechen[215]	intransitive[215]	*[215]	*[215]	item0[215]	32[334]	female[334]	2em9nj6n4c2pjudl6n6hfpjc30[334]	speaker: YOU[453]	*->91-1	DefNP[91]	_	_	_	
2-6	42-51	gekrochen	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	_	_	_	_	_	false[88]	Decl[88]	*[215]	kriechen[215]	intransitive[215]	*[215]	*[215]	item0[215]	32[334]	female[334]	2em9nj6n4c2pjudl6n6hfpjc30[334]	speaker: YOU[453]	_	_	_	_	_	

#Text=Hm?
3-1	53-56	Hm?	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	_	_	_	_	_	false	NA	hm\_question\_4	*	*	*	*	feedback	*	male	*	speaker:Paul	_	_	_	_	_	

#Text=Sie hat Angst vor den Sylveserkrachern.
4-1	58-61	Sie	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	3	*	Subj	*	singular	false[89]	Decl[89]	*[216]	*[216]	*[216]	*[216]	*[216]	input1[216]	32[335]	female[335]	2em9nj6n4c2pjudl6n6hfpjc30[335]	speaker: YOU[454]	*->53-2	PerPron[53]	explanation	*	5-1[90_89]	
4-2	62-65	hat	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	_	_	_	_	_	false[89]	Decl[89]	*[216]	*[216]	*[216]	*[216]	*[216]	input1[216]	32[335]	female[335]	2em9nj6n4c2pjudl6n6hfpjc30[335]	speaker: YOU[454]	_	_	_	_	_	
4-3	66-71	Angst	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	*	*	DirObj	*	*	false[89]	Decl[89]	*[216]	*[216]	*[216]	*[216]	*[216]	input1[216]	32[335]	female[335]	2em9nj6n4c2pjudl6n6hfpjc30[335]	speaker: YOU[454]	*->73-1	IndefNP[73]	_	_	_	
4-4	72-75	vor	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	_	_	_	_	_	false[89]	Decl[89]	*[216]	*[216]	*[216]	*[216]	*[216]	input1[216]	32[335]	female[335]	2em9nj6n4c2pjudl6n6hfpjc30[335]	speaker: YOU[454]	*->73-1	IndefNP[73]	_	_	_	
4-5	76-79	den	_	GFailure[2]	kriechen\_set1\_27[2]	latin2[2]	2em9nj6n4c2pjudl6n6hfpjc30-kriechen\_set1\_27[2]	*[33]	*[33]	PrepObj[33]	*[33]	*[33]	false[89]	Decl[89]	*[216]	*[216]	*[216]	*[216]	*[216]	input1[216]	32[335]	female[335]	2em9nj6n4c2pjudl6n6hfpjc30[335]	speaker: YOU[454]	*->73-1|*->14-1	IndefNP[73]|DefNP[14]	_	_	_	
