#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Hallo, wie geht's?
1-1	0-6	Hallo,	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	false[42]	Int[42]	*[164]	*[164]	*[164]	wh\_2[164]	wh\_question[164]	openq[164]	*[282]	female[282]	*[282]	speaker:Alina[400]	_	_	QAP|QAP	*|*	5-1[46_42]|2-1[43_42]	
1-2	7-10	wie	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	false[42]	Int[42]	*[164]	*[164]	*[164]	wh\_2[164]	wh\_question[164]	openq[164]	*[282]	female[282]	*[282]	speaker:Alina[400]	_	_	_	_	_	
1-3	11-18	geht's?	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	false[42]	Int[42]	*[164]	*[164]	*[164]	wh\_2[164]	wh\_question[164]	openq[164]	*[282]	female[282]	*[282]	speaker:Alina[400]	_	_	_	_	_	

#Text=Leonie hat Abendessen gekocht
2-1	20-26	Leonie	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	*	*	Subj	*	*	false[43]	Decl[43]	*[165]	kochen[165]	transitive[165]	*[165]	*[165]	item0[165]	18[283]	female[283]	0ncaea7aqlpc7oe43khd21qn11[283]	speaker: YOU[401]	*->80-1	PropNm[80]	elaboration|CR	*|*	4-4[45_43]|3-1[0_43]	
2-2	27-30	hat	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	false[43]	Decl[43]	*[165]	kochen[165]	transitive[165]	*[165]	*[165]	item0[165]	18[283]	female[283]	0ncaea7aqlpc7oe43khd21qn11[283]	speaker: YOU[401]	_	_	_	_	_	
2-3	31-41	Abendessen	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	*	*	object	*	*	false[43]	Decl[43]	*[165]	kochen[165]	transitive[165]	*[165]	*[165]	item0[165]	18[283]	female[283]	0ncaea7aqlpc7oe43khd21qn11[283]	speaker: YOU[401]	*->8-1	IndefNP[8]	_	_	_	
2-4	42-49	gekocht	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	false[43]	Decl[43]	*[165]	kochen[165]	transitive[165]	*[165]	*[165]	item0[165]	18[283]	female[283]	0ncaea7aqlpc7oe43khd21qn11[283]	speaker: YOU[401]	_	_	_	_	_	

#Text=Häh?
3-1	51-55	Häh?	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	false	NA	haeh\_question\_1	*	*	*	*	feedback	*	female	*	speaker:Alina	_	_	explanation	*	4-1[44_0]	

#Text=Was häh <BR> sie hat uns Essen gekocht.
4-1	57-60	Was	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	false[44]	NA[44]	*[166]	*[166]	*[166]	*[166]	*[166]	input1[166]	18[284]	female[284]	0ncaea7aqlpc7oe43khd21qn11[284]	speaker: YOU[402]	_	_	_	_	_	
4-2	61-64	häh	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	false[44]	NA[44]	*[166]	*[166]	*[166]	*[166]	*[166]	input1[166]	18[284]	female[284]	0ncaea7aqlpc7oe43khd21qn11[284]	speaker: YOU[402]	_	_	_	_	_	
4-3	65-69	<BR>	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	_	_	*[166]	*[166]	*[166]	*[166]	*[166]	input1[166]	18[284]	female[284]	0ncaea7aqlpc7oe43khd21qn11[284]	speaker: YOU[402]	_	_	_	_	_	
4-4	70-73	sie	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	3	*	Subj	*	singular	false[45]	Decl[45]	*[166]	*[166]	*[166]	*[166]	*[166]	input1[166]	18[284]	female[284]	0ncaea7aqlpc7oe43khd21qn11[284]	speaker: YOU[402]	*->80-2	PerPron[80]	result	*	5-1[46_45]	
4-5	74-77	hat	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	false[45]	Decl[45]	*[166]	*[166]	*[166]	*[166]	*[166]	input1[166]	18[284]	female[284]	0ncaea7aqlpc7oe43khd21qn11[284]	speaker: YOU[402]	_	_	_	_	_	
4-6	78-81	uns	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	1	*	IndirObj	*	plural	false[45]	Decl[45]	*[166]	*[166]	*[166]	*[166]	*[166]	input1[166]	18[284]	female[284]	0ncaea7aqlpc7oe43khd21qn11[284]	speaker: YOU[402]	*->92-1	PerPron[92]	_	_	_	
4-7	82-87	Essen	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	*	*	DirObj	*	*	false[45]	Decl[45]	*[166]	*[166]	*[166]	*[166]	*[166]	input1[166]	18[284]	female[284]	0ncaea7aqlpc7oe43khd21qn11[284]	speaker: YOU[402]	*->8-2	IndefNP[8]	_	_	_	
4-8	88-96	gekocht.	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	false[45]	Decl[45]	*[166]	*[166]	*[166]	*[166]	*[166]	input1[166]	18[284]	female[284]	0ncaea7aqlpc7oe43khd21qn11[284]	speaker: YOU[402]	_	_	_	_	_	

#Text=dementsprechend geht es mir ausgezeichnet.
5-1	98-113	dementsprechend	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	false[46]	Decl[46]	*[167]	*[167]	*[167]	*[167]	*[167]	input2[167]	18[285]	female[285]	0ncaea7aqlpc7oe43khd21qn11[285]	speaker: YOU[403]	_	_	_	_	_	
5-2	114-118	geht	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	false[46]	Decl[46]	*[167]	*[167]	*[167]	*[167]	*[167]	input2[167]	18[285]	female[285]	0ncaea7aqlpc7oe43khd21qn11[285]	speaker: YOU[403]	_	_	_	_	_	
5-3	119-121	es	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	*	*	Subj	*	*	false[46]	Decl[46]	*[167]	*[167]	*[167]	*[167]	*[167]	input2[167]	18[285]	female[285]	0ncaea7aqlpc7oe43khd21qn11[285]	speaker: YOU[403]	_	_	_	_	_	
5-4	122-125	mir	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	1	*	IndirObj	*	singular	false[46]	Decl[46]	*[167]	*[167]	*[167]	*[167]	*[167]	input2[167]	18[285]	female[285]	0ncaea7aqlpc7oe43khd21qn11[285]	speaker: YOU[403]	*->89-1	PerPron[89]	_	_	_	
5-5	126-140	ausgezeichnet.	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	false[46]	Decl[46]	*[167]	*[167]	*[167]	*[167]	*[167]	input2[167]	18[285]	female[285]	0ncaea7aqlpc7oe43khd21qn11[285]	speaker: YOU[403]	_	_	_	_	_	

#Text=END_OF_DOCUMENT
6-1	142-157	END_OF_DOCUMENT	GFailure[1]	kochen\_set1\_2[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-kochen\_set1\_2[1]	_	_	_	_	_	_	_	*	*	*	*	*	end	*	*	*	*	_	_	_	_	_	

#Text=Hallo, wie geht's?
