#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Na?
1-1	0-3	Na?	GFailure[1]	ausleihen\_set1\_21[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-ausleihen\_set1\_21[1]	_	_	_	_	_	false	Int	*	*	*	gen\_1	general\_question	openq	*	female	*	speaker:Finnja	_	_	QAP	*	2-1[98_0]	

#Text=Samuel hat eine Leiter ausgeliehen
2-1	5-11	Samuel	GFailure[1]	ausleihen\_set1\_21[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-ausleihen\_set1\_21[1]	*	*	Subj	*	*	false[98]	Decl[98]	*[194]	ausleihen[194]	transitive[194]	*[194]	*[194]	item0[194]	32[283]	female[283]	2em9nj6n4c2pjudl6n6hfpjc30[283]	speaker: YOU[372]	*->74-1	PropNm[74]	explanation|CR	*|*	4-1[99_98]|3-1[0_98]	
2-2	12-15	hat	GFailure[1]	ausleihen\_set1\_21[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-ausleihen\_set1\_21[1]	_	_	_	_	_	false[98]	Decl[98]	*[194]	ausleihen[194]	transitive[194]	*[194]	*[194]	item0[194]	32[283]	female[283]	2em9nj6n4c2pjudl6n6hfpjc30[283]	speaker: YOU[372]	_	_	_	_	_	
2-3	16-20	eine	GFailure[1]	ausleihen\_set1\_21[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-ausleihen\_set1\_21[1]	*[31]	*[31]	object[31]	*[31]	*[31]	false[98]	Decl[98]	*[194]	ausleihen[194]	transitive[194]	*[194]	*[194]	item0[194]	32[283]	female[283]	2em9nj6n4c2pjudl6n6hfpjc30[283]	speaker: YOU[372]	*->82-1	IndefNP[82]	_	_	_	
2-4	21-27	Leiter	GFailure[1]	ausleihen\_set1\_21[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-ausleihen\_set1\_21[1]	*[31]	*[31]	object[31]	*[31]	*[31]	false[98]	Decl[98]	*[194]	ausleihen[194]	transitive[194]	*[194]	*[194]	item0[194]	32[283]	female[283]	2em9nj6n4c2pjudl6n6hfpjc30[283]	speaker: YOU[372]	*->82-1	IndefNP[82]	_	_	_	
2-5	28-39	ausgeliehen	GFailure[1]	ausleihen\_set1\_21[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-ausleihen\_set1\_21[1]	_	_	_	_	_	false[98]	Decl[98]	*[194]	ausleihen[194]	transitive[194]	*[194]	*[194]	item0[194]	32[283]	female[283]	2em9nj6n4c2pjudl6n6hfpjc30[283]	speaker: YOU[372]	_	_	_	_	_	

#Text=Was?
