#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Na, wie läufts bei dir?
1-1	0-3	Na,	GFailure[1]	abhauen\_set1\_8[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-abhauen\_set1\_8[1]	_	_	_	_	_	false[84]	Int[84]	*[223]	*[223]	*[223]	wh\_4[223]	wh\_question[223]	openq[223]	*[351]	male[351]	*[351]	speaker:Vincent[479]	_	_	QAP	*	2-1[85_84]	
1-2	4-7	wie	GFailure[1]	abhauen\_set1\_8[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-abhauen\_set1\_8[1]	_	_	_	_	_	false[84]	Int[84]	*[223]	*[223]	*[223]	wh\_4[223]	wh\_question[223]	openq[223]	*[351]	male[351]	*[351]	speaker:Vincent[479]	_	_	_	_	_	
1-3	8-14	läufts	GFailure[1]	abhauen\_set1\_8[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-abhauen\_set1\_8[1]	_	_	_	_	_	false[84]	Int[84]	*[223]	*[223]	*[223]	wh\_4[223]	wh\_question[223]	openq[223]	*[351]	male[351]	*[351]	speaker:Vincent[479]	_	_	_	_	_	
1-4	15-18	bei	GFailure[1]	abhauen\_set1\_8[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-abhauen\_set1\_8[1]	_	_	_	_	_	false[84]	Int[84]	*[223]	*[223]	*[223]	wh\_4[223]	wh\_question[223]	openq[223]	*[351]	male[351]	*[351]	speaker:Vincent[479]	_	_	_	_	_	
1-5	19-23	dir?	GFailure[1]	abhauen\_set1\_8[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-abhauen\_set1\_8[1]	2	*	*	*	singular	false[84]	Int[84]	*[223]	*[223]	*[223]	wh\_4[223]	wh\_question[223]	openq[223]	*[351]	male[351]	*[351]	speaker:Vincent[479]	*->16-1	PerPron[16]	_	_	_	

#Text=Annika ist nach Frankreich abgehauen
2-1	25-31	Annika	GFailure[1]	abhauen\_set1\_8[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-abhauen\_set1\_8[1]	*	*	Subj	*	*	false[85]	Decl[85]	*[224]	abhauen[224]	intransitive[224]	*[224]	*[224]	item0[224]	18[352]	female[352]	0ncaea7aqlpc7oe43khd21qn11[352]	speaker: YOU[480]	*->48-1	PropNm[48]	explanation|elaboration|result|CR	*|*|*|*	4-1[86_85]|4-9[87_85]|5-1[88_85]|3-1[0_85]	
2-2	32-35	ist	GFailure[1]	abhauen\_set1\_8[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-abhauen\_set1\_8[1]	_	_	_	_	_	false[85]	Decl[85]	*[224]	abhauen[224]	intransitive[224]	*[224]	*[224]	item0[224]	18[352]	female[352]	0ncaea7aqlpc7oe43khd21qn11[352]	speaker: YOU[480]	_	_	_	_	_	
2-3	36-40	nach	GFailure[1]	abhauen\_set1\_8[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-abhauen\_set1\_8[1]	_	_	_	_	_	false[85]	Decl[85]	*[224]	abhauen[224]	intransitive[224]	*[224]	*[224]	item0[224]	18[352]	female[352]	0ncaea7aqlpc7oe43khd21qn11[352]	speaker: YOU[480]	_	_	_	_	_	
