#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Na?
1-1	0-3	Na?	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	_	_	_	_	_	false	Int	*	*	*	gen\_1	general\_question	openq	*	male	*	speaker:Tony	_	_	QAP	*	2-1[42_0]	

#Text=Clara hat Blut gespendet
2-1	5-10	Clara	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	*	*	Subj	*	*	false[42]	Decl[42]	*[135]	spenden[135]	transitive[135]	*[135]	*[135]	item0[135]	35[224]	female[224]	2k56uavscuainedj0q9i1sb693[224]	speaker: YOU[313]	*->105-1	PropNm[105]	elaboration|CR	*|*	4-1[43_42]|3-1[0_42]	
2-2	11-14	hat	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	_	_	_	_	_	false[42]	Decl[42]	*[135]	spenden[135]	transitive[135]	*[135]	*[135]	item0[135]	35[224]	female[224]	2k56uavscuainedj0q9i1sb693[224]	speaker: YOU[313]	_	_	_	_	_	
2-3	15-19	Blut	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	*	*	object	*	*	false[42]	Decl[42]	*[135]	spenden[135]	transitive[135]	*[135]	*[135]	item0[135]	35[224]	female[224]	2k56uavscuainedj0q9i1sb693[224]	speaker: YOU[313]	*->18-1	IndefNP[18]	_	_	_	
2-4	20-29	gespendet	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	_	_	_	_	_	false[42]	Decl[42]	*[135]	spenden[135]	transitive[135]	*[135]	*[135]	item0[135]	35[224]	female[224]	2k56uavscuainedj0q9i1sb693[224]	speaker: YOU[313]	_	_	_	_	_	

#Text=Was?
3-1	31-35	Was?	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	_	_	_	_	_	false	NA	was\_question\_3	*	*	*	*	feedback	*	male	*	speaker:Tony	_	_	_	_	_	

#Text=Sie war bei der Blutspende.
4-1	37-40	Sie	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	3	*	Subj	*	singular	false[43]	Decl[43]	*[136]	*[136]	*[136]	*[136]	*[136]	input1[136]	35[225]	female[225]	2k56uavscuainedj0q9i1sb693[225]	speaker: YOU[314]	*->105-2	PerPron[105]	elaboration	*	5-1[44_43]	
4-2	41-44	war	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	_	_	_	_	_	false[43]	Decl[43]	*[136]	*[136]	*[136]	*[136]	*[136]	input1[136]	35[225]	female[225]	2k56uavscuainedj0q9i1sb693[225]	speaker: YOU[314]	_	_	_	_	_	
4-3	45-48	bei	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	_	_	_	_	_	false[43]	Decl[43]	*[136]	*[136]	*[136]	*[136]	*[136]	input1[136]	35[225]	female[225]	2k56uavscuainedj0q9i1sb693[225]	speaker: YOU[314]	_	_	_	_	_	
4-4	49-52	der	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	*[31]	*[31]	PrepObj[31]	*[31]	*[31]	false[43]	Decl[43]	*[136]	*[136]	*[136]	*[136]	*[136]	input1[136]	35[225]	female[225]	2k56uavscuainedj0q9i1sb693[225]	speaker: YOU[314]	*->119-1	DefNP[119]	_	_	_	
4-5	53-64	Blutspende.	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	*[31]	*[31]	PrepObj[31]	*[31]	*[31]	false[43]	Decl[43]	*[136]	*[136]	*[136]	*[136]	*[136]	input1[136]	35[225]	female[225]	2k56uavscuainedj0q9i1sb693[225]	speaker: YOU[314]	*->119-1	DefNP[119]	_	_	_	

#Text=Hier im Krankenhaus um die Ecke.
5-1	66-70	Hier	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	_	_	_	_	_	false[44]	NA[44]	*[137]	*[137]	*[137]	*[137]	*[137]	input2[137]	35[226]	female[226]	2k56uavscuainedj0q9i1sb693[226]	speaker: YOU[315]	_	_	_	_	_	
5-2	71-73	im	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	*[32]	*[32]	PrepObj[32]	*[32]	*[32]	false[44]	NA[44]	*[137]	*[137]	*[137]	*[137]	*[137]	input2[137]	35[226]	female[226]	2k56uavscuainedj0q9i1sb693[226]	speaker: YOU[315]	*->29-1	DefNP[29]	_	_	_	
5-3	74-85	Krankenhaus	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	*[32]	*[32]	PrepObj[32]	*[32]	*[32]	false[44]	NA[44]	*[137]	*[137]	*[137]	*[137]	*[137]	input2[137]	35[226]	female[226]	2k56uavscuainedj0q9i1sb693[226]	speaker: YOU[315]	*->29-1	DefNP[29]	_	_	_	
5-4	86-88	um	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	_	_	_	_	_	false[44]	NA[44]	*[137]	*[137]	*[137]	*[137]	*[137]	input2[137]	35[226]	female[226]	2k56uavscuainedj0q9i1sb693[226]	speaker: YOU[315]	_	_	_	_	_	
5-5	89-92	die	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	*[33]	*[33]	PrepObj[33]	*[33]	*[33]	false[44]	NA[44]	*[137]	*[137]	*[137]	*[137]	*[137]	input2[137]	35[226]	female[226]	2k56uavscuainedj0q9i1sb693[226]	speaker: YOU[315]	*->35-1	DefNP[35]	_	_	_	
5-6	93-98	Ecke.	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	*[33]	*[33]	PrepObj[33]	*[33]	*[33]	false[44]	NA[44]	*[137]	*[137]	*[137]	*[137]	*[137]	input2[137]	35[226]	female[226]	2k56uavscuainedj0q9i1sb693[226]	speaker: YOU[315]	*->35-1	DefNP[35]	_	_	_	

#Text=END_OF_DOCUMENT
6-1	100-115	END_OF_DOCUMENT	GFailure[1]	spenden\_set1\_11[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-spenden\_set1\_11[1]	_	_	_	_	_	_	_	*	*	*	*	*	end	*	*	*	*	_	_	_	_	_	

#Text=Na?
7-1	117-120	Na?	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	_	_	_	_	_	false	Int	*	*	*	gen\_1	general\_question	openq	*	male	*	speaker:Tony	_	_	QAP	*	8-1[45_0]	

#Text=Clara hat Blut gespendet
8-1	122-127	Clara	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	*	*	Subj	*	*	false[45]	Decl[45]	*[138]	spenden[138]	transitive[138]	*[138]	*[138]	item0[138]	46[227]	male[227]	7bq5ecc5fndmatjvd44havavdp[227]	speaker: YOU[316]	*->90-1	PropNm[90]	elaboration|CR	*|*	10-1[46_45]|9-1[0_45]	
8-2	128-131	hat	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	_	_	_	_	_	false[45]	Decl[45]	*[138]	spenden[138]	transitive[138]	*[138]	*[138]	item0[138]	46[227]	male[227]	7bq5ecc5fndmatjvd44havavdp[227]	speaker: YOU[316]	_	_	_	_	_	
8-3	132-136	Blut	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	*	*	object	*	*	false[45]	Decl[45]	*[138]	spenden[138]	transitive[138]	*[138]	*[138]	item0[138]	46[227]	male[227]	7bq5ecc5fndmatjvd44havavdp[227]	speaker: YOU[316]	*->53-1	IndefNP[53]	_	_	_	
8-4	137-146	gespendet	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	_	_	_	_	_	false[45]	Decl[45]	*[138]	spenden[138]	transitive[138]	*[138]	*[138]	item0[138]	46[227]	male[227]	7bq5ecc5fndmatjvd44havavdp[227]	speaker: YOU[316]	_	_	_	_	_	

#Text=Was?
9-1	148-152	Was?	GFailure[2]	spenden\_set1\_11[2]	latin1[2]	7bq5ecc5fndmatjvd44havavdp-spenden\_set1\_11[2]	_	_	_	_	_	false	NA	was\_question\_3	*	*	*	*	feedback	*	male	*	speaker:Tony	_	_	_	_	_	

#Text=bekam eine Einladung
