#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Wie gehts dir?
1-1	0-3	Wie	GFailure[1]	husten\_set1\_7[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-husten\_set1\_7[1]	_	_	_	_	_	false[47]	Int[47]	*[170]	*[170]	*[170]	wh\_3[170]	wh\_question[170]	openq[170]	*[289]	female[289]	*[289]	speaker:Annabelle[408]	_	_	QAP	*	2-1[48_47]	
1-2	4-9	gehts	GFailure[1]	husten\_set1\_7[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-husten\_set1\_7[1]	_	_	_	_	_	false[47]	Int[47]	*[170]	*[170]	*[170]	wh\_3[170]	wh\_question[170]	openq[170]	*[289]	female[289]	*[289]	speaker:Annabelle[408]	_	_	_	_	_	
1-3	10-14	dir?	GFailure[1]	husten\_set1\_7[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-husten\_set1\_7[1]	2	*	*	*	singular	false[47]	Int[47]	*[170]	*[170]	*[170]	wh\_3[170]	wh\_question[170]	openq[170]	*[289]	female[289]	*[289]	speaker:Annabelle[408]	*->88-1	PerPron[88]	_	_	_	

#Text=Lotte hat laut gehustet
2-1	16-21	Lotte	GFailure[1]	husten\_set1\_7[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-husten\_set1\_7[1]	*	*	Subj	*	*	false[48]	Decl[48]	*[171]	husten[171]	intransitive[171]	*[171]	*[171]	item0[171]	18[290]	female[290]	0ncaea7aqlpc7oe43khd21qn11[290]	speaker: YOU[409]	*->7-1|*->95-1	clause[7]|PropNm[95]	explanation|CR	*|*	4-3[49_48]|3-1[0_48]	
2-2	22-25	hat	GFailure[1]	husten\_set1\_7[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-husten\_set1\_7[1]	_	_	_	_	_	false[48]	Decl[48]	*[171]	husten[171]	intransitive[171]	*[171]	*[171]	item0[171]	18[290]	female[290]	0ncaea7aqlpc7oe43khd21qn11[290]	speaker: YOU[409]	*->7-1	clause[7]	_	_	_	
2-3	26-30	laut	GFailure[1]	husten\_set1\_7[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-husten\_set1\_7[1]	_	_	_	_	_	false[48]	Decl[48]	*[171]	husten[171]	intransitive[171]	*[171]	*[171]	item0[171]	18[290]	female[290]	0ncaea7aqlpc7oe43khd21qn11[290]	speaker: YOU[409]	*->7-1	clause[7]	_	_	_	
2-4	31-39	gehustet	GFailure[1]	husten\_set1\_7[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-husten\_set1\_7[1]	_	_	_	_	_	false[48]	Decl[48]	*[171]	husten[171]	intransitive[171]	*[171]	*[171]	item0[171]	18[290]	female[290]	0ncaea7aqlpc7oe43khd21qn11[290]	speaker: YOU[409]	*->7-1	clause[7]	_	_	_	

#Text=Was?
3-1	41-45	Was?	GFailure[1]	husten\_set1\_7[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-husten\_set1\_7[1]	_	_	_	_	_	false	NA	was\_question\_3	*	*	*	*	feedback	*	female	*	speaker:Annabelle	_	_	_	_	_	

#Text=Sorry <BR> meine kleine Schwester hat das geschrieben.
4-1	47-52	Sorry	GFailure[1]	husten\_set1\_7[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-husten\_set1\_7[1]	_	_	_	_	_	false	NA	*[172]	*[172]	*[172]	*[172]	*[172]	input1[172]	18[291]	female[291]	0ncaea7aqlpc7oe43khd21qn11[291]	speaker: YOU[410]	_	_	_	_	_	
4-2	53-57	<BR>	GFailure[1]	husten\_set1\_7[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-husten\_set1\_7[1]	_	_	_	_	_	_	_	*[172]	*[172]	*[172]	*[172]	*[172]	input1[172]	18[291]	female[291]	0ncaea7aqlpc7oe43khd21qn11[291]	speaker: YOU[410]	_	_	_	_	_	
