#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Error|Error
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Alles gut?
1-1	0-5	Alles	_	GFailure[3]	stuerzen\_set1\_16[3]	latin1[3]	2k56uavscuainedj0q9i1sb693-stuerzen\_set1\_16[3]	_	_	_	_	_	false[33]	Int[33]	*[161]	*[161]	*[161]	yn\_4[161]	yesno\_question[161]	openq[161]	*[280]	female[280]	*[280]	speaker:Elisabeth[399]	_	_	QAP	*	2-1[34_33]	
1-2	6-10	gut?	_	GFailure[3]	stuerzen\_set1\_16[3]	latin1[3]	2k56uavscuainedj0q9i1sb693-stuerzen\_set1\_16[3]	_	_	_	_	_	false[33]	Int[33]	*[161]	*[161]	*[161]	yn\_4[161]	yesno\_question[161]	openq[161]	*[280]	female[280]	*[280]	speaker:Elisabeth[399]	_	_	_	_	_	

#Text=Till ist gestürzt
2-1	12-16	Till	_	GFailure[3]	stuerzen\_set1\_16[3]	latin1[3]	2k56uavscuainedj0q9i1sb693-stuerzen\_set1\_16[3]	_	_	_	_	_	false[34]	Decl[34]	*[162]	stürzen[162]	intransitive[162]	*[162]	*[162]	item0[162]	35[281]	female[281]	2k56uavscuainedj0q9i1sb693[281]	speaker: YOU[400]	*->31-1	PropNm[31]	elaboration|result|CR	*|*|*	4-1[35_34]|5-1[36_34]|3-1[0_34]	
2-2	17-20	ist	_	GFailure[3]	stuerzen\_set1\_16[3]	latin1[3]	2k56uavscuainedj0q9i1sb693-stuerzen\_set1\_16[3]	_	_	_	_	_	false[34]	Decl[34]	*[162]	stürzen[162]	intransitive[162]	*[162]	*[162]	item0[162]	35[281]	female[281]	2k56uavscuainedj0q9i1sb693[281]	speaker: YOU[400]	_	_	_	_	_	
2-3	21-29	gestürzt	_	GFailure[3]	stuerzen\_set1\_16[3]	latin1[3]	2k56uavscuainedj0q9i1sb693-stuerzen\_set1\_16[3]	_	_	_	_	_	false[34]	Decl[34]	*[162]	stürzen[162]	intransitive[162]	*[162]	*[162]	item0[162]	35[281]	female[281]	2k56uavscuainedj0q9i1sb693[281]	speaker: YOU[400]	_	_	_	_	_	

#Text=Hm?
3-1	31-34	Hm?	_	GFailure[3]	stuerzen\_set1\_16[3]	latin1[3]	2k56uavscuainedj0q9i1sb693-stuerzen\_set1\_16[3]	_	_	_	_	_	false	NA	hm\_question\_4	*	*	*	*	feedback	*	female	*	speaker:Elisabeth	_	_	_	_	_	

#Text=Von der Leiter.
4-1	36-39	Von	_	GFailure[3]	stuerzen\_set1\_16[3]	latin1[3]	2k56uavscuainedj0q9i1sb693-stuerzen\_set1\_16[3]	_	_	_	_	_	false[35]	NA[35]	*[163]	*[163]	*[163]	*[163]	*[163]	input1[163]	35[282]	female[282]	2k56uavscuainedj0q9i1sb693[282]	speaker: YOU[401]	_	_	_	_	_	
4-2	40-43	der	_	GFailure[3]	stuerzen\_set1\_16[3]	latin1[3]	2k56uavscuainedj0q9i1sb693-stuerzen\_set1\_16[3]	_	_	_	_	_	false[35]	NA[35]	*[163]	*[163]	*[163]	*[163]	*[163]	input1[163]	35[282]	female[282]	2k56uavscuainedj0q9i1sb693[282]	speaker: YOU[401]	*->12-1	DefNP[12]	_	_	_	
4-3	44-51	Leiter.	_	GFailure[3]	stuerzen\_set1\_16[3]	latin1[3]	2k56uavscuainedj0q9i1sb693-stuerzen\_set1\_16[3]	_	_	_	_	_	false[35]	NA[35]	*[163]	*[163]	*[163]	*[163]	*[163]	input1[163]	35[282]	female[282]	2k56uavscuainedj0q9i1sb693[282]	speaker: YOU[401]	*->12-1	DefNP[12]	_	_	_	

#Text=Rettungswagen kommt gleich.
5-1	53-66	Rettungswagen	_	GFailure[3]	stuerzen\_set1\_16[3]	latin1[3]	2k56uavscuainedj0q9i1sb693-stuerzen\_set1\_16[3]	_	_	_	_	_	false[36]	Decl[36]	*[164]	*[164]	*[164]	*[164]	*[164]	input2[164]	35[283]	female[283]	2k56uavscuainedj0q9i1sb693[283]	speaker: YOU[402]	*->20-1	IndefNP[20]	_	_	_	
5-2	67-72	kommt	_	GFailure[3]	stuerzen\_set1\_16[3]	latin1[3]	2k56uavscuainedj0q9i1sb693-stuerzen\_set1\_16[3]	_	_	_	_	_	false[36]	Decl[36]	*[164]	*[164]	*[164]	*[164]	*[164]	input2[164]	35[283]	female[283]	2k56uavscuainedj0q9i1sb693[283]	speaker: YOU[402]	_	_	_	_	_	
5-3	73-80	gleich.	_	GFailure[3]	stuerzen\_set1\_16[3]	latin1[3]	2k56uavscuainedj0q9i1sb693-stuerzen\_set1\_16[3]	_	_	_	_	_	false[36]	Decl[36]	*[164]	*[164]	*[164]	*[164]	*[164]	input2[164]	35[283]	female[283]	2k56uavscuainedj0q9i1sb693[283]	speaker: YOU[402]	_	_	_	_	_	

#Text=END_OF_DOCUMENT
6-1	82-97	END_OF_DOCUMENT	_	GFailure[3]	stuerzen\_set1\_16[3]	latin1[3]	2k56uavscuainedj0q9i1sb693-stuerzen\_set1\_16[3]	_	_	_	_	_	_	_	*	*	*	*	*	end	*	*	*	*	_	_	_	_	_	

#Text=Alles gut?
7-1	99-104	Alles	_	GFailure[4]	stuerzen\_set1\_16[4]	latin1[4]	7bq5ecc5fndmatjvd44havavdp-stuerzen\_set1\_16[4]	_	_	_	_	_	false[37]	Int[37]	*[165]	*[165]	*[165]	yn\_4[165]	yesno\_question[165]	openq[165]	*[284]	female[284]	*[284]	speaker:Elisabeth[403]	_	_	QAP	*	8-1[38_37]	
7-2	105-109	gut?	_	GFailure[4]	stuerzen\_set1\_16[4]	latin1[4]	7bq5ecc5fndmatjvd44havavdp-stuerzen\_set1\_16[4]	_	_	_	_	_	false[37]	Int[37]	*[165]	*[165]	*[165]	yn\_4[165]	yesno\_question[165]	openq[165]	*[284]	female[284]	*[284]	speaker:Elisabeth[403]	_	_	_	_	_	

#Text=Till ist gestürzt
