#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Error|Error
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Hey, was gibts Neues?
1-1	0-4	Hey,	_	GFailure[2]	stolpern\_set1\_20[2]	latin1[2]	2k56uavscuainedj0q9i1sb693-stolpern\_set1\_20[2]	_	_	_	_	_	false[60]	Int[60]	*[197]	*[197]	*[197]	wh\_6[197]	wh\_question[197]	openq[197]	*[326]	female[326]	*[326]	speaker:Eva[455]	_	_	QAP	*	2-1[61_60]	
1-2	5-8	was	_	GFailure[2]	stolpern\_set1\_20[2]	latin1[2]	2k56uavscuainedj0q9i1sb693-stolpern\_set1\_20[2]	_	_	_	_	_	false[60]	Int[60]	*[197]	*[197]	*[197]	wh\_6[197]	wh\_question[197]	openq[197]	*[326]	female[326]	*[326]	speaker:Eva[455]	_	_	_	_	_	
1-3	9-14	gibts	_	GFailure[2]	stolpern\_set1\_20[2]	latin1[2]	2k56uavscuainedj0q9i1sb693-stolpern\_set1\_20[2]	_	_	_	_	_	false[60]	Int[60]	*[197]	*[197]	*[197]	wh\_6[197]	wh\_question[197]	openq[197]	*[326]	female[326]	*[326]	speaker:Eva[455]	_	_	_	_	_	
1-4	15-21	Neues?	_	GFailure[2]	stolpern\_set1\_20[2]	latin1[2]	2k56uavscuainedj0q9i1sb693-stolpern\_set1\_20[2]	_	_	_	_	_	false[60]	Int[60]	*[197]	*[197]	*[197]	wh\_6[197]	wh\_question[197]	openq[197]	*[326]	female[326]	*[326]	speaker:Eva[455]	_	_	_	_	_	

#Text=Sebastian ist gestolpert
2-1	23-32	Sebastian	_	GFailure[2]	stolpern\_set1\_20[2]	latin1[2]	2k56uavscuainedj0q9i1sb693-stolpern\_set1\_20[2]	*	*	Subj	*	*	false[61]	Decl[61]	*[198]	stolpern[198]	intransitive[198]	*[198]	*[198]	item0[198]	35[327]	female[327]	2k56uavscuainedj0q9i1sb693[327]	speaker: YOU[456]	*->13-1	PropNm[13]	elaboration|CR	*|*	4-1[62_61]|3-1[0_61]	
2-2	33-36	ist	_	GFailure[2]	stolpern\_set1\_20[2]	latin1[2]	2k56uavscuainedj0q9i1sb693-stolpern\_set1\_20[2]	_	_	_	_	_	false[61]	Decl[61]	*[198]	stolpern[198]	intransitive[198]	*[198]	*[198]	item0[198]	35[327]	female[327]	2k56uavscuainedj0q9i1sb693[327]	speaker: YOU[456]	_	_	_	_	_	
2-3	37-47	gestolpert	_	GFailure[2]	stolpern\_set1\_20[2]	latin1[2]	2k56uavscuainedj0q9i1sb693-stolpern\_set1\_20[2]	_	_	_	_	_	false[61]	Decl[61]	*[198]	stolpern[198]	intransitive[198]	*[198]	*[198]	item0[198]	35[327]	female[327]	2k56uavscuainedj0q9i1sb693[327]	speaker: YOU[456]	_	_	_	_	_	

