#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Na?
1-1	0-3	Na?	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	false	Int	*	*	*	gen\_1	general\_question	openq	*	female	*	speaker:Alexandra	_	_	QAP	*	2-1[81_0]	

#Text=Lena hat die Küche geputzt
2-1	5-9	Lena	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	*	*	Subj	*	*	false[81]	Decl[81]	*[172]	putzen[172]	transitive[172]	*[172]	*[172]	item0[172]	18[257]	female[257]	0ncaea7aqlpc7oe43khd21qn11[257]	speaker: YOU[342]	*->63-1	PropNm[63]	result|result|CR	*|*|*	4-1[82_81]|5-1[83_81]|3-1[0_81]	
2-2	10-13	hat	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	false[81]	Decl[81]	*[172]	putzen[172]	transitive[172]	*[172]	*[172]	item0[172]	18[257]	female[257]	0ncaea7aqlpc7oe43khd21qn11[257]	speaker: YOU[342]	_	_	_	_	_	
2-3	14-17	die	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	*[31]	*[31]	object[31]	*[31]	*[31]	false[81]	Decl[81]	*[172]	putzen[172]	transitive[172]	*[172]	*[172]	item0[172]	18[257]	female[257]	0ncaea7aqlpc7oe43khd21qn11[257]	speaker: YOU[342]	*->83-1	DefNP[83]	_	_	_	
2-4	18-23	Küche	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	*[31]	*[31]	object[31]	*[31]	*[31]	false[81]	Decl[81]	*[172]	putzen[172]	transitive[172]	*[172]	*[172]	item0[172]	18[257]	female[257]	0ncaea7aqlpc7oe43khd21qn11[257]	speaker: YOU[342]	*->83-1	DefNP[83]	_	_	_	
2-5	24-31	geputzt	GFailure[1]	putzen\_set1\_1[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-putzen\_set1\_1[1]	_	_	_	_	_	false[81]	Decl[81]	*[172]	putzen[172]	transitive[172]	*[172]	*[172]	item0[172]	18[257]	female[257]	0ncaea7aqlpc7oe43khd21qn11[257]	speaker: YOU[342]	_	_	_	_	_	

#Text=Hm?
