#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Alles klar bei dir?
1-1	0-5	Alles	GFailure[1]	adoptieren\_set1\_13[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-adoptieren\_set1\_13[1]	_	_	_	_	_	false[89]	Int[89]	*[220]	*[220]	*[220]	yn\_1[220]	yesno\_question[220]	openq[220]	*[340]	male[340]	*[340]	speaker:Tobias[460]	_	_	QAP	*	2-1[90_89]	
1-2	6-10	klar	GFailure[1]	adoptieren\_set1\_13[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-adoptieren\_set1\_13[1]	_	_	_	_	_	false[89]	Int[89]	*[220]	*[220]	*[220]	yn\_1[220]	yesno\_question[220]	openq[220]	*[340]	male[340]	*[340]	speaker:Tobias[460]	_	_	_	_	_	
1-3	11-14	bei	GFailure[1]	adoptieren\_set1\_13[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-adoptieren\_set1\_13[1]	_	_	_	_	_	false[89]	Int[89]	*[220]	*[220]	*[220]	yn\_1[220]	yesno\_question[220]	openq[220]	*[340]	male[340]	*[340]	speaker:Tobias[460]	_	_	_	_	_	
1-4	15-19	dir?	GFailure[1]	adoptieren\_set1\_13[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-adoptieren\_set1\_13[1]	2	*	*	*	singular	false[89]	Int[89]	*[220]	*[220]	*[220]	yn\_1[220]	yesno\_question[220]	openq[220]	*[340]	male[340]	*[340]	speaker:Tobias[460]	*->76-1	PerPron[76]	_	_	_	

#Text=Diana hat eine Katze adoptiert
2-1	21-26	Diana	GFailure[1]	adoptieren\_set1\_13[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-adoptieren\_set1\_13[1]	*	*	Subj	*	*	false[90]	Decl[90]	*[221]	adoptieren[221]	transitive[221]	*[221]	*[221]	item0[221]	35[341]	female[341]	2k56uavscuainedj0q9i1sb693[341]	speaker: YOU[461]	*->126-1	PropNm[126]	result|CR	*|*	4-1[91_90]|3-1[0_90]	
2-2	27-30	hat	GFailure[1]	adoptieren\_set1\_13[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-adoptieren\_set1\_13[1]	_	_	_	_	_	false[90]	Decl[90]	*[221]	adoptieren[221]	transitive[221]	*[221]	*[221]	item0[221]	35[341]	female[341]	2k56uavscuainedj0q9i1sb693[341]	speaker: YOU[461]	_	_	_	_	_	
2-3	31-35	eine	GFailure[1]	adoptieren\_set1\_13[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-adoptieren\_set1\_13[1]	*[31]	*[31]	object[31]	*[31]	*[31]	false[90]	Decl[90]	*[221]	adoptieren[221]	transitive[221]	*[221]	*[221]	item0[221]	35[341]	female[341]	2k56uavscuainedj0q9i1sb693[341]	speaker: YOU[461]	*->3-1	IndefNP[3]	_	_	_	
2-4	36-41	Katze	GFailure[1]	adoptieren\_set1\_13[1]	latin1[1]	2k56uavscuainedj0q9i1sb693-adoptieren\_set1\_13[1]	*[31]	*[31]	object[31]	*[31]	*[31]	false[90]	Decl[90]	*[221]	adoptieren[221]	transitive[221]	*[221]	*[221]	item0[221]	35[341]	female[341]	2k56uavscuainedj0q9i1sb693[341]	speaker: YOU[461]	*->3-1	IndefNP[3]	_	_	_	
