#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Alles klar bei dir?
1-1	0-5	Alles	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	false[94]	Int[94]	*[218]	*[218]	*[218]	yn\_1[218]	yesno\_question[218]	openq[218]	*[335]	female[335]	*[335]	speaker:Amelie[452]	_	_	QAP	*	2-1[95_94]	
1-2	6-10	klar	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	false[94]	Int[94]	*[218]	*[218]	*[218]	yn\_1[218]	yesno\_question[218]	openq[218]	*[335]	female[335]	*[335]	speaker:Amelie[452]	_	_	_	_	_	
1-3	11-14	bei	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	false[94]	Int[94]	*[218]	*[218]	*[218]	yn\_1[218]	yesno\_question[218]	openq[218]	*[335]	female[335]	*[335]	speaker:Amelie[452]	_	_	_	_	_	
1-4	15-19	dir?	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	2	*	*	*	singular	false[94]	Int[94]	*[218]	*[218]	*[218]	yn\_1[218]	yesno\_question[218]	openq[218]	*[335]	female[335]	*[335]	speaker:Amelie[452]	*->94-1	PerPron[94]	_	_	_	

#Text=Lina hat ein Schiff gemietet
2-1	21-25	Lina	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	*	*	Subj	*	*	false[95]	Decl[95]	*[219]	mieten[219]	transitive[219]	*[219]	*[219]	item0[219]	18[336]	female[336]	0ncaea7aqlpc7oe43khd21qn11[336]	speaker: YOU[453]	*->94-2	PropNm[94]	elaboration|CR	*|*	4-1[0_95]|3-1[0_95]	
2-2	26-29	hat	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	false[95]	Decl[95]	*[219]	mieten[219]	transitive[219]	*[219]	*[219]	item0[219]	18[336]	female[336]	0ncaea7aqlpc7oe43khd21qn11[336]	speaker: YOU[453]	*->20-1	clause[20]	_	_	_	
2-3	30-33	ein	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	*[31]	*[31]	object[31]	*[31]	*[31]	false[95]	Decl[95]	*[219]	mieten[219]	transitive[219]	*[219]	*[219]	item0[219]	18[336]	female[336]	0ncaea7aqlpc7oe43khd21qn11[336]	speaker: YOU[453]	*->20-1|*->37-1	clause[20]|IndefNP[37]	_	_	_	
2-4	34-40	Schiff	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	*[31]	*[31]	object[31]	*[31]	*[31]	false[95]	Decl[95]	*[219]	mieten[219]	transitive[219]	*[219]	*[219]	item0[219]	18[336]	female[336]	0ncaea7aqlpc7oe43khd21qn11[336]	speaker: YOU[453]	*->20-1|*->37-1	clause[20]|IndefNP[37]	_	_	_	
2-5	41-49	gemietet	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	false[95]	Decl[95]	*[219]	mieten[219]	transitive[219]	*[219]	*[219]	item0[219]	18[336]	female[336]	0ncaea7aqlpc7oe43khd21qn11[336]	speaker: YOU[453]	*->20-1	clause[20]	_	_	_	

#Text=Ähm?
3-1	51-55	Ähm?	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	false	NA	aehm\_question\_5	*	*	*	*	feedback	*	female	*	speaker:Amelie	_	_	_	_	_	

#Text=Ja <BR> ich weiß auch nicht wie sie darauf gekommen ist<BR>aber wir halten eine Party.
4-1	57-59	Ja	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	false	NA	*[220]	*[220]	*[220]	*[220]	*[220]	input1[220]	18[337]	female[337]	0ncaea7aqlpc7oe43khd21qn11[337]	speaker: YOU[454]	_	_	_	_	_	
4-2	60-64	<BR>	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	_	_	*[220]	*[220]	*[220]	*[220]	*[220]	input1[220]	18[337]	female[337]	0ncaea7aqlpc7oe43khd21qn11[337]	speaker: YOU[454]	_	_	_	_	_	
4-3	65-68	ich	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	1	*	Subj	*	singular	false[96]	Decl[96]	*[220]	*[220]	*[220]	*[220]	*[220]	input1[220]	18[337]	female[337]	0ncaea7aqlpc7oe43khd21qn11[337]	speaker: YOU[454]	*->133-1	PerPron[133]	_	_	_	
4-4	69-73	weiß	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	false[96]	Decl[96]	*[220]	*[220]	*[220]	*[220]	*[220]	input1[220]	18[337]	female[337]	0ncaea7aqlpc7oe43khd21qn11[337]	speaker: YOU[454]	_	_	_	_	_	
4-5	74-78	auch	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	false[96]	Decl[96]	*[220]	*[220]	*[220]	*[220]	*[220]	input1[220]	18[337]	female[337]	0ncaea7aqlpc7oe43khd21qn11[337]	speaker: YOU[454]	_	_	_	_	_	
4-6	79-84	nicht	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	false[96]	Decl[96]	*[220]	*[220]	*[220]	*[220]	*[220]	input1[220]	18[337]	female[337]	0ncaea7aqlpc7oe43khd21qn11[337]	speaker: YOU[454]	_	_	_	_	_	
4-7	85-88	wie	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	false[96]	Decl[96]	*[220]	*[220]	*[220]	*[220]	*[220]	input1[220]	18[337]	female[337]	0ncaea7aqlpc7oe43khd21qn11[337]	speaker: YOU[454]	_	_	_	_	_	
4-8	89-92	sie	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	3	*	Subj	*	singular	false[96]	Decl[96]	*[220]	*[220]	*[220]	*[220]	*[220]	input1[220]	18[337]	female[337]	0ncaea7aqlpc7oe43khd21qn11[337]	speaker: YOU[454]	*->112-1	PerPron[112]	_	_	_	
4-9	93-99	darauf	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	false[96]	Decl[96]	*[220]	*[220]	*[220]	*[220]	*[220]	input1[220]	18[337]	female[337]	0ncaea7aqlpc7oe43khd21qn11[337]	speaker: YOU[454]	*->20-2	D-Pron[20]	_	_	_	
4-10	100-108	gekommen	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	false[96]	Decl[96]	*[220]	*[220]	*[220]	*[220]	*[220]	input1[220]	18[337]	female[337]	0ncaea7aqlpc7oe43khd21qn11[337]	speaker: YOU[454]	_	_	_	_	_	
4-11	109-120	ist<BR>aber	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	_	_	*[220]	*[220]	*[220]	*[220]	*[220]	input1[220]	18[337]	female[337]	0ncaea7aqlpc7oe43khd21qn11[337]	speaker: YOU[454]	_	_	_	_	_	
4-11.1	116-120	aber	_	_	_	_	_	_	_	_	_	false[97]	Decl[97]	_	_	_	_	_	_	_	_	_	_	_	_	contrast	*	4-3[96_97]	
4-11.2	109-112	ist	_	_	_	_	_	_	_	_	_	false[96]	Decl[96]	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-12	121-124	wir	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	1	*	Subj	*	plural	false[97]	Decl[97]	*[220]	*[220]	*[220]	*[220]	*[220]	input1[220]	18[337]	female[337]	0ncaea7aqlpc7oe43khd21qn11[337]	speaker: YOU[454]	*->79-1	PerPron[79]	_	_	_	
4-13	125-131	halten	GFailure[1]	mieten\_set1\_3[1]	latin3[1]	0ncaea7aqlpc7oe43khd21qn11-mieten\_set1\_3[1]	_	_	_	_	_	false[97]	Decl[97]	*[220]	*[220]	*[220]	*[220]	*[220]	input1[220]	18[337]	female[337]	0ncaea7aqlpc7oe43khd21qn11[337]	speaker: YOU[454]	_	_	_	_	_	
